ONTOLOGY,UNIQUE_NAME,PARENT,HIERARCHY,DESC,RNG_MIN,RNG_MAX
CPT,Anesthesia,NA,H1,Anesthesia,100,1999
CPT,Surgery,NA,H1,Surgery,10021,69990
CPT,Radiology,NA,H1,Radiology Services,70010,79999
CPT,Pathology,NA,H1,Pathology and Laboratory Services,80047,89398
CPT,Medical,NA,H1,Medical Services and Procedures,90281,99607
CPT,Evaluation,NA,H1,Evaluation & Management Services,99201,99499
CPT,Anesthesia_1,Anesthesia,H2,Anesthesia for Procedures on the Head ,100,222
CPT,Anesthesia_2,Anesthesia,H2,Anesthesia for Procedures on the Neck ,300,352
CPT,Anesthesia_3,Anesthesia,H2,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle) ,400,474
CPT,Anesthesia_4,Anesthesia,H2,Anesthesia for Intrathoracic Procedures ,500,580
CPT,Anesthesia_5,Anesthesia,H2,Anesthesia for Procedures on the Spine and Spinal Cord ,600,670
CPT,Anesthesia_6,Anesthesia,H2,Anesthesia for Procedures on the Upper Abdomen ,700,797
CPT,Anesthesia_7,Anesthesia,H2,Anesthesia for Procedures on the Lower Abdomen ,800,882
CPT,Anesthesia_8,Anesthesia,H2,Anesthesia for Procedures on the Perineum ,902,952
CPT,Anesthesia_9,Anesthesia,H2,Anesthesia for Procedures on the Pelvis (Except Hip) ,1112,1190
CPT,Anesthesia_10,Anesthesia,H2,Anesthesia for Procedures on the Upper Leg (Except Knee) ,1200,1274
CPT,Anesthesia_11,Anesthesia,H2,Anesthesia for Procedures on the Knee and Popliteal Area ,1320,1444
CPT,Anesthesia_12,Anesthesia,H2,Anesthesia for Procedures on the Lower Leg (Below Knee) ,1462,1522
CPT,Anesthesia_13,Anesthesia,H2,Anesthesia for Procedures on the Shoulder and Axilla ,1610,1682
CPT,Anesthesia_14,Anesthesia,H2,Anesthesia for Procedures on the Upper Arm and Elbow ,1710,1782
CPT,Anesthesia_15,Anesthesia,H2,"Anesthesia for Procedures on the Forearm, Wrist, and Hand ",1810,1860
CPT,Anesthesia_16,Anesthesia,H2,Anesthesia for Radiological Procedures ,1916,1936
CPT,Anesthesia_17,Anesthesia,H2,Anesthesia for Burn Excisions or Debridement Procedures ,1951,1953
CPT,Anesthesia_18,Anesthesia,H2,Anesthesia for Obstetric Procedures ,1958,1969
CPT,Anesthesia_19,Anesthesia,H2,Anesthesia for Other Procedures ,1990,1999
CPT,Surgery_1,Surgery,H2,General Surgical Procedures,10000,10022
CPT,Surgery_2,Surgery,H2,Surgical Procedures on the Integumentary System ,10040,19499
CPT,Surgery_3,Surgery,H2,Surgical Procedures on the Musculoskeletal System ,20000,29999
CPT,Surgery_4,Surgery,H2,Surgical Procedures on the Respiratory System ,30000,32999
CPT,Surgery_5,Surgery,H2,Surgical Procedures on the Cardiovascular System ,33010,37799
CPT,Surgery_6,Surgery,H2,Surgical Procedures on the Hemic and Lymphatic Systems ,38100,38999
CPT,Surgery_7,Surgery,H2,Surgical Procedures on the Mediastinum and Diaphragm ,39000,39599
CPT,Surgery_8,Surgery,H2,Surgical Procedures on the Digestive System ,40490,49999
CPT,Surgery_9,Surgery,H2,Surgical Procedures on the Urinary System ,50010,53899
CPT,Surgery_10,Surgery,H2,Surgical Procedures on the Male Genital System ,54000,55899
CPT,Surgery_11,Surgery,H2,Reproductive System Procedures ,55920,55969
CPT,Surgery_12,Surgery,H2,Intersex Surgery ,55970,55980
CPT,Surgery_13,Surgery,H2,Surgical Procedures on the Female Genital System ,56405,58999
CPT,Surgery_14,Surgery,H2,Surgical Procedures for Maternity Care and Delivery ,59000,59899
CPT,Surgery_15,Surgery,H2,Surgical Procedures on the Endocrine System ,60000,60699
CPT,Surgery_16,Surgery,H2,Surgical Procedures on the Nervous System ,61000,64999
CPT,Surgery_17,Surgery,H2,Surgical Procedures on the Eye and Ocular Adnexa ,65091,68899
CPT,Surgery_18,Surgery,H2,Surgical Procedures on the Auditory System ,69000,69979
CPT,Surgery_19,Surgery,H2,Operating Microscope Procedures ,69990,69999
CPT,Radiology_1,Radiology Services,H2,Diagnostic Radiology (Diagnostic Imaging) Procedures ,70000,76499
