RXCUI,ATC4,ATC2
1652242,A10AD,A10
1926332,A10AB,A10
1736863,A10AE,A10
1723750,L01XC,L01
1745114,L04AC,L04
310497,H04AA,H04
729234,H01AC,H01
582971,H01AC,H01
582976,H01AC,H01
311036,A10AB,A10
1435117,H05AA,H05
351859,A10AB,A10
106892,A10AB,A10
259111,A10AB,A10
847254,A10AB,A10
752388,A10AB,A10
731281,A10AB,A10
865098,A10AB,A10
1652640,A10AB,A10
847189,A10AB,A10
1731317,A10AB,A10
1855744,L01XC,L01
1793884,J05AP,J05
1660191,J05AP,J05
1660196,J05AP,J05
1085756,A01AC,A01
1112980,L04AA,L04
1085752,A01AC,A01
643177,L01XE,L01
643173,L01XE,L01
643175,L01XE,L01
105602,L01XX,L01
799830,L01XE,L01
1045408,L01XE,L01
1045404,L01XE,L01
1364441,B01AF,B01
1364447,B01AF,B01
578457,J05AF,J05
578459,J05AF,J05
607579,J05AF,J05
152941,J05AF,J05
152942,J05AF,J05
152943,J05AF,J05
152944,J05AF,J05
153652,J05AF,J05
616018,L04AA,L04
1145932,L04AA,L04
1799230,L04AA,L04
1664984,J01DF,J01
1664988,J01DF,J01
1726115,L01XC,L01
1925255,L04AA,L04
1925257,L04AA,L04
664743,J05AE,J05
402094,J05AE,J05
402093,J05AE,J05
1598989,J05AE,J05
1601660,V03AX,V03
1991413,L01XC,L01
1992428,B01AF,B01
1657192,L01XC,L01
1726119,L01XC,L01
904469,C10AA,C10
904477,C10AA,C10
904483,C10AA,C10
213282,L01XX,L01
213283,L01XX,L01
213284,L01XX,L01
284587,J05AB,J05
863562,J05AB,J05
206159,N03AE,N03
206157,N03AE,N03
206160,N03AE,N03
904934,M05BA,M05
904954,M05BA,M05
859865,J05AE,J05
226917,A08AB,A08
352297,L03AB,L03
731328,L03AB,L03
404460,J05AX,J05
1591961,B03XA,B03
1591964,B03XA,B03
1591967,B03XA,B03
1591970,B03XA,B03
1591976,B03XA,B03
261315,J05AH,J05
728115,J05AH,J05
728111,J05AH,J05
1115700,J05AH,J05
213292,L01BC,L01
213293,L01BC,L01
608793,G02CC,G02
205743,J05AB,J05
210665,A06AC,A06
1547575,N05CM,N05
206764,C09AA,C09
904433,M05BA,M05
261314,D11AX,D11
1547110,N05CM,N05
213178,D11AX,D11
201961,D11AX,D11
1243848,A10BH,A10
1243843,A10BH,A10
1243833,A10BH,A10
206765,C09AA,C09
665044,A10BH,A10
206766,C09AA,C09
665040,A10BH,A10
744846,J05AX,J05
213321,N02CC,N02
213322,N02CC,N02
904465,M05BA,M05
665036,A10BH,A10
1547114,N05CM,N05
1547118,N05CM,N05
404465,A04AD,A04
404466,A04AD,A04
644278,A04AD,A04
1235595,J05AX,J05
1235591,J05AX,J05
213319,C10AA,C10
668606,L01XX,L01
153127,J05AE,J05
153128,J05AE,J05
861821,A10BH,A10
861771,A10BH,A10
904495,M05BA,M05
979468,C09CA,C09
208220,C10AA,C10
104490,C10AA,C10
104491,C10AA,C10
979464,C09CA,C09
979466,C09CA,C09
979471,C09CA,C09
979473,C09CA,C09
152923,C10AA,C10
979487,C09CA,C09
979494,C09CA,C09
979482,C09CA,C09
261367,R03DC,R03
1855057,J06BB,J06
1657751,L01XC,L01
1729311,A04AD,A04
2055766,J05AG,J05
1734642,J05AP,J05
1988671,J05AX,J05
1988675,J05AX,J05
1924315,J05AX,J05
1726216,J01DH,J01
151100,S01EC,S01
1486841,J05AX,J05
828536,N02CC,N02
828537,N02CC,N02
828757,J02AX,J02
828541,J02AX,J02
404406,R03DC,R03
1734686,J01DH,J01
754509,A04AD,A04
724606,N04BA,N04
724598,N04BA,N04
724602,N04BA,N04
792381,N04BA,N04
834341,N04BA,N04
1927290,L04AB,L04
1988657,J05AX,J05
1988661,J05AX,J05
2055815,J05AG,J05
1992816,A10BK,A10
1992821,A10BK,A10
1992837,A10BK,A10
1992832,A10BK,A10
1992695,A10BK,A10
1992703,A10BK,A10
1992691,A10BK,A10
1992700,A10BK,A10
1726997,V03AB,V03
1727001,V03AB,V03
153892,R03DC,R03
153893,R03DC,R03
860512,C07AG,C07
860518,C07AG,C07
860524,C07AG,C07
860534,C07AG,C07
208124,C03DB,C03
686926,C07AG,C07
212388,C07AG,C07
212389,C07AG,C07
212390,C07AG,C07
825425,B02BX,B02
825429,B02BX,B02
884619,B02BX,B02
1245003,B02BX,B02
824961,N04BC,N04
848584,N04BC,N04
799832,N04BC,N04
800497,N04BC,N04
800499,N04BC,N04
152952,N04BC,N04
213068,N04BC,N04
152953,N04BC,N04
152954,N04BC,N04
152955,N04BC,N04
351991,N04BC,N04
261309,N04BC,N04
1729422,L01CA,L01
1942959,L01XC,L01
313585,N06AX,N06
729929,N06AX,N06
313581,N06AX,N06
729931,N06AX,N06
313583,N06AX,N06
729932,N06AX,N06
284400,A02BC,A02
352125,A02BC,A02
763308,A02BC,A02
885257,A02BC,A02
351901,L04AA,L04
905160,L04AA,L04
351989,L04AA,L04
404432,L04AA,L04
1441740,G03XC,G03
725108,L01XE,L01
1607619,N06AX,N06
790290,N06AX,N06
790267,N06AX,N06
835721,J04AD,J04
1944704,L01XC,L01
584201,J01AA,J01
1743722,D07AA,D07
1738596,A01AC,A01
105398,A01AC,A01
208680,A01AC,A01
208681,N05CD,N05
207136,D07AA,D07
207137,D07AA,D07
141927,N05BA,N05
208712,A01AC,A01
207191,D07AA,D07
208816,A01AC,A01
1743707,D07AA,D07
207193,D07AA,D07
1000124,G03AC,G03
141928,N05BA,N05
260330,D07AA,D07
259966,D07AA,D07
687025,N05BA,N05
687024,N05BA,N05
1000139,G03AC,G03
687023,N05BA,N05
687022,N05BA,N05
207138,D07AA,D07
835831,G03BA,G03
835842,G03BA,G03
214003,N05BA,N05
214004,N05BA,N05
207141,D07AA,D07
197518,D10AF,D10
562411,D06AX,D06
1048452,C10AC,C10
206417,G03CA,G03
1358512,D07AA,D07
1358612,D07AA,D07
1000145,G03AC,G03
706461,D10AF,D10
